name,ra,dec
NGC 2832,9.32966,33.74957
NGC 7331,22.61782,34.41562
NGC 2778,9.20678,35.02742
A2124 1,15.74972,36.10944
NGC 708,1.87959,36.15195
NGC 4163,12.20256,36.16935
NGC 5557,14.30712,36.49387
NGC 1023A,2.67714,39.05752
NGC 1023,2.67333,39.06325
NGC 6166,16.47731,39.55136
NGC 6173,16.49581,40.81157
NGC 221,0.71161,40.86517
NGC 6160,16.46139,40.92606
NGC 224,0.71232,41.26888
NGC 1275,3.33007,41.51155
NGC 205,0.6728,41.68538
NGC 910,2.42412,41.82439
DDO 52,8.47457,41.85661
NGC 891,2.37598,42.34712
NGC 4013,11.97538,43.94676
NGC 4449,12.46973,44.09303
NGC 6703,18.78856,45.55053
NGC 5194,13.49797,47.19515
NGC 185,0.64937,48.3374
NGC 147,0.55333,48.5086
NGC 2329,7.15223,48.61562
IC 712,11.58036,49.07776
NGC 3870,11.76572,50.19986
NGC 4157,12.18455,50.4849
NGC 5457,14.0535,54.34906
NGC 3073,10.01446,55.61892
NGC 3556,11.19193,55.67415
NGC 5866,15.10821,55.7633
NGC 5907,15.2649,56.32891
UGC 4289,8.26247,58.32084
NGC 3610,11.30702,58.78622
NGC 5982,15.64438,59.35589
NGC 2768,9.19374,60.03725
NGC 6946,20.58127,60.15377
NGC 5322,13.82089,60.19039
NGC 4605,12.6665,61.60903
UGCA 92,4.53431,63.61611
NGC 3259,10.54302,65.0411
KKH 77,12.23567,66.09469
UGCA 86,3.99736,67.14361
IKN,10.13499,68.39926
NGC 3031,9.92587,69.06544
NGC 3348,10.78611,72.83967
NGC 4589,12.62362,74.19186
NGC 4291,12.33825,75.37094
