name,ra,dec,morph_type,distance,distance_error,num_glob_clust_limit,num_glob_clust,num_glob_clust_error
NGC 4486B,12.50888,12.49022,E0, 16.26, 0.64,,    4.0,   11.0
IC 3586,12.61522,12.52004,S0-a, 16.54, 0.62,,   14.4,    5.7
NGC 4552,12.5944,12.55611,E, 15.89, 0.55,, 1100.0,  200.0
VCC 871,12.4349,12.55967,dE4N, 16.00, 2.00,,   18.2,    5.8
VCC 965,12.45087,12.56054,dE7N, 16.90, 1.30,,   15.4,    5.3
NGC 3379,10.79711,12.58161,E1, 10.20, 0.50,,  216.0,   42.0
NGC 3384,10.8047,12.6294,SB0, 10.80, 0.77,,  120.0,   30.0
VCC 1386,12.53094,12.65666,dE3N, 16.00, 2.00,,   26.6,    7.2
VCC 1386,12.53094,12.65666,dE3N, 16.10, 1.13,,   26.0,   12.0
VCC 1539,12.56854,12.74156,E, 17.00, 0.17,,   31.0,    7.0
IC 3540,12.59089,12.75031,S0, 15.35, 1.18,,   26.0,   10.0
VCC 896,12.43961,12.78663,dE3N, 16.00, 2.00,,    5.3,    4.6
NGC 4267,12.32926,12.79842,SB0, 15.82, 0.54,,  179.0,   17.0
VCC 1077,12.46953,12.8068,dE0N, 16.00, 2.00,,    1.8,    5.3
NGC 4387,12.42825,12.81045,E, 18.00, 0.62,,   69.5,    9.8
VCC 1104,12.47446,12.82366,dE1N, 15.70, 1.60,,    8.0,    6.0
CGCG 065-015,10.38993,12.83507,E,144.4,10.1,, 2160.0,  780.0
IC 3492,12.5555,12.85356,E, 16.00, 2.00,,   19.0,    6.6
IC 3635,12.67038,12.87487,Sc, 16.86, 0.68,,   20.4,    5.8
NGC 4374,12.41768,12.88707,E1, 18.51, 0.61,, 4301.0, 1201.0
NGC 4406,12.4366,12.94611,E3, 17.09, 0.52,, 2800.0,  200.0
VCC 200,12.27603,13.03142,E, 18.22, 0.69,,   15.5,    5.8
NGC 4435,12.46124,13.0789,SB0, 16.65, 0.52,,  345.0,   80.0
NGC 4216,12.26509,13.14958,Sb, 16.00, 1.00,,  620.0,  310.0
NGC 4458,12.48265,13.24183,E0, 16.32, 0.53,,   72.0,   12.0
VCC 1272,12.50445,13.30751,dE1N, 16.00, 2.00,,    2.9,    4.0
IC 3501,12.56434,13.32253,E/S0, 16.31, 0.58,,   40.7,    7.6
LGC 0050,10.85042,13.33333,dE/N, 11.00, 2.00,,    7.5,    4.0
NGC 4473,12.49691,13.4294,E5, 15.25, 0.51,,  376.0,   97.0
NGC 4479,12.50511,13.57756,S0, 17.40, 0.59,,   58.6,    9.3
IC 3735,12.75567,13.69285,E, 17.09, 0.62,,   23.9,    6.1
NGC 3489,11.00516,13.90119,S0, 12.08, 0.86,,  100.0,   50.0
NGC 4459,12.48334,13.97856,S0, 16.01, 0.55,,  218.0,   28.0
NGC 3377,10.7951,13.98564,E5, 11.04, 0.25,,  191.0,   15.0
IC 3019,12.15619,13.99241,E, 17.14, 0.73,,   25.7,    6.4
NGC 4474,12.49821,14.06862,S0, 15.46, 0.58,,  116.0,   24.0
IC 3442,12.52228,14.1151,E, 16.94, 0.70,,   10.8,    5.6
VCC 1105,12.47429,14.15574,dE0N, 16.00, 2.00,,    4.8,    4.0
IC 3032,12.18548,14.27492,E, 15.04, 0.95,,    2.2,    4.2
VCC 1714,12.62378,14.3134,dE4N, 16.00, 2.00,,    0.0,    4.5
VCC 240,12.29203,14.3556,dE2N, 16.00, 2.00,,    8.5,    4.8
UGC 4115,7.9506,14.39101,Im,  7.72, 0.80,,    5.0,    2.0
IC 3065,12.2535,14.43287,S0, 16.40, 0.57,,   21.3,    6.1
VCC 1876,12.68904,14.70066,dE5N, 16.00, 2.00,,   25.9,    7.4
IC 3612,12.65129,14.73033,S0-a, 14.73, 0.94,,    2.1,    3.7
VCC 543,12.37209,14.76082,S0, 15.72, 0.57,,   18.1,    5.5
NGC 4377,12.42009,14.76228,S0, 17.67, 0.59,,   74.0,   32.0
NGC 4262,12.32517,14.87758,SB0, 15.42, 0.43,,  100.0,   31.0
VCC 158,12.26115,15.00557,dE3N, 16.00, 2.00,,   10.4,    5.4
IC 798,12.54262,15.41541,E, 16.07, 0.60,,   26.7,    6.8
VCC 1577,12.57734,15.60278,dE4, 16.00, 2.00,,   14.6,    5.9
NGC 4379,12.42075,15.60742,S0, 15.88, 0.52,,   50.0,   14.0
UGC 2413,2.94132,15.91614,E,145.2,10.2,, 3020.0,  840.0
VCC 1833,12.67213,15.93522,E, 16.24, 0.56,,   18.1,    5.5
UGC 10143,16.03806,15.97456,E/cD,153, 8.00,,14000, 3500.0
A2147 1,16.03806,15.97472,E,153.4,10.7,,13100, 3300.0
NGC 7814,0.05414,16.14555,Sab, 13.18, 0.88,,  150.0,   40.0
NGC 4515,12.55138,16.2655,S0, 16.68, 0.55,,   81.0,   10.0
A2152 1,16.09144,16.43583,E,190,13.3,, 7800.0, 2060.0
A2152 2,16.09067,16.44278,S0,136.4, 9.60,, 5100.0,  340.0
UGC 685,1.1229,16.68402,Im,  4.70, 0.50,,    5.0,    2.0
NGC 4350,12.39939,16.69347,S0, 15.50, 0.78,,  196.0,   60.0
NGC 4340,12.39314,16.72246,IB, 16.00, 2.00,,   45.0,   16.0
NGC 4489,12.51451,16.75877,E, 15.38, 0.50,,   31.0,    9.0
UGC 3974,7.69872,16.8025,Ibm,  8.04, 0.80,,    4.0,    2.0
NGC 3455,10.90863,17.28472,SABb, 20.60, 1.50,,   27.0,   14.0
VCC 1497,12.55512,17.4594,dE4N, 16.00, 2.00,,    5.8,    5.4
VCC 437,12.3469,17.48713,S0, 17.17, 0.65,,   42.1,    7.9
NGC 6039,16.07766,17.70098,E/S0,150.6,10.5,, 5030.0,  300.0
NGC 6041A,16.07661,17.72167,S0,151.8,10.6,,19800, 4900.0
VCC 646,12.39212,17.7946,dE3, 16.00, 2.00,,    5.3,    4.6
NGC 3607,11.28182,18.0519,S0, 20.00, 2.00,,  600.0,  200.0
NGC 3599,11.2575,18.11033,S0, 20.32, 1.76,,   29.0,   10.0
NGC 3608,11.28304,18.14854,E2, 23.00, 2.00,,  450.0,  200.0
NGC 4382,12.42335,18.19076,S0, 17.88, 0.56,, 1110.0,  181.0
IC 3292,12.41343,18.19509,S0-a, 15.79, 0.58,,    9.2,    4.3
NGC 3226,10.39083,19.89836,E, 23.55, 2.75,,  470.0,  200.0
NGC 3842,11.73394,19.9497,E, 94.90, 6.70,,12000, 3000.0
UGC 6203,11.16234,21.75875,E,141.6, 9.90,, 4880.0, 1400.0
UGC 9958,15.66081,21.78311,E/cD,180.6, 9.00,,27000,13000
NGC 6482,17.86355,23.0719,E, 55.14, 2.80,, 1140.0,   87.0
NGC 7339,22.62974,23.78672,Sbc, 23.10, 2.22,,   75.0,   10.0
NGC 7332,22.62348,23.79826,S0, 23.01, 2.22,,  175.0,   15.0
UGC 8638,13.65543,24.77522,Im,  4.27, 0.50,,    3.0,    2.0
NGC 4494,12.52335,25.77468,E1, 17.06, 0.89,,  392.0,   49.0
NGC 4565,12.60577,25.98719,Sb, 17.46, 1.42,,  204.0,   60.0
IC 3651,12.68136,26.72805,S0, 71.70, 5.00,, 2700.0,  780.0
NGC 7720,23.64152,27.03166,E,124.5, 8.70,,18000, 4600.0
