name,ra,dec,morph_type,distance,distance_error,num_glob_clust_limit,num_glob_clust,num_glob_clust_error
KKS 55,13.37022,-42.72806,dSph,  3.94, 0.40,,    1.0,    1.0
ESO 306-017,5.66853,-40.83627,E3/cD,154.26, 7.71,,11577, 1046.0
NGC 55,0.24822,-39.19658,SBm,  2.09, 0.08,,   36.0,   15.0
NGC 300,0.91487,-37.68448,Scd,  1.98, 0.04,,   70.0,   30.0
FCC 242,3.67236,-37.6449,dE5, 20.00, 2.00,,    0.0,    3.3
NGC 3557,11.16603,-37.53925,E, 45.71, 4.87,, 1075.0,  740.0
NGC 1419,3.67837,-37.51088,E0, 20.15, 1.84,,  155.0,   50.0
ESO 301-G08,3.37297,-37.39764,dS0, 20.27, 0.70,,   16.0,    5.0
NGC 1316,3.37826,-37.20821,S0, 21.09, 0.30,, 1000.0,  500.0
FCC 0046,3.44028,-37.12806,dE4, 30.20, 2.20,,    9.9,    5.3
FCC 0025,3.39261,-36.98389,dE0N, 20.00, 2.00,,    3.1,    4.5
FCC 303,3.75392,-36.93679,dE1, 19.69, 0.70,,   22.0,    7.0
NGC 1460,3.77048,-36.6964,SB0, 19.94, 0.61,,   39.0,   12.0
NGC 5102,13.36601,-36.6301,S0,  3.29, 0.24,,    7.0,    6.0
FCC 238,3.67142,-36.5346,dE5N, 20.00, 2.00,,    2.5,    2.5
ESO 358-G66,3.79796,-36.47167,dS0, 20.08, 0.72,,   21.0,    7.0
IC 1459,22.95294,-36.46218,E, 29.24, 4.02,, 2100.0,  730.0
FCC 316,3.78372,-36.43752,dE1N, 20.90, 2.10,,   21.1,    6.9
FCC 150,3.59003,-36.36389,dE4, 18.30, 2.00,,    9.9,    5.3
FCC 90,3.51896,-36.29007,E4, 19.45, 1.81,,   21.0,    7.0
FCC 246,3.67714,-36.121,dE2, 20.00, 2.00,,    0.0,    3.4
ESO 358-G59,3.751,-35.9727,E4, 20.89, 2.02,,   21.0,    7.0
IC 2006,3.90791,-35.9672,E, 20.24, 0.76,,  132.0,   40.0
ESO 359-G02,3.84353,-35.90937,E, 19.43, 0.62,,   14.0,    5.0
ESO 357-G25,3.39368,-35.77837,SB0, 19.85, 1.31,,   22.0,    7.0
NGC 1389,3.61992,-35.74602,SB0, 20.87, 1.53,,   48.0,   16.0
FCC 254,3.68356,-35.74252,dE0N, 20.40, 2.00,,    5.6,    5.2
NGC 1336,3.44228,-35.71366,E4, 18.74, 0.28,,  276.0,  100.0
NGC 1427A,3.66925,-35.62451,Ibsm, 16.00, 2.00,,   38.0,   15.0
NGC 3258,10.48155,-35.60538,E1, 32.06, 4.25,, 6000.0,  150.0
NGC 1404,3.64775,-35.59424,E1, 20.43, 0.40,,  770.0,  140.0
FCC 136,3.57486,-35.54649,dE2, 19.68, 1.04,,   25.0,    8.0
NGC 1387,3.61585,-35.50663,E/S0, 19.82, 0.70,,  390.0,   27.0
