#Table1
oh_p50,sfr_tot_p50,bptclass
-9999,-1.092252,-1
-9999,-0.2771492,5
-9999,-9999,-1
8.986392,0.4145987,1
-9999,0.2109047,5
-9999,-9999,-1
-9999,-0.2190551,2
-9999,-1.466255,-1
-9999,-9999,-1
-9999,-0.1696617,2
-9999,0.148614,-1
-9999,0.47894,4
-9999,-1.173718,-1
-9999,0.09546164,2
-9999,-9999,-1
-9999,-4.647295,-1
-9999,-3.166331,-1
-9999,-0.7648395,3
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
9.153933,0.8180313,1
-9999,-9999,-1
-9999,-9999,-1
8.384013,-0.8029101,1
-9999,-4.776522,-1
-9999,-9999,-1
-9999,-9999,-1
8.905452,0.1924474,1
-9999,-9999,-1
-9999,0.524416,2
-9999,-9999,-1
8.55194,-0.6793295,1
-9999,-0.0679591,2
-9999,-9999,-1
8.959998,0.1192786,1
-9999,-1.197258,-1
-9999,-0.8231566,-1
-9999,-9999,-1
-9999,-9999,1
-9999,-9999,-1
-9999,-1.079683,-1
-9999,0.7857457,2
-9999,-0.4199002,5
-9999,0.1089058,2
-9999,-0.8771573,-1
-9999,0.8350061,2
-9999,-4.864762,-1
-9999,-9999,-1
-9999,-0.4991297,5
-9999,-1.353586,4
-9999,-1.1898,5
-9999,-4.876501,-1
-9999,-1.331858,-1
-9999,-0.6136461,5
-9999,-4.81664,2
8.779721,-0.2694925,1
-9999,-9999,2
-9999,-9999,-1
-9999,0.8858299,2
-9999,-9999,-1
-9999,-1.589016,-1
8.657445,0.487156,1
-9999,0.06919319,2
-9999,-9999,-1
-9999,-0.2077301,5
-9999,-1.0718,2
-9999,-0.9201773,2
-9999,-4.747289,-1
-9999,-1.002216,-1
8.814942,-0.2240475,1
9.114416,0.7936109,1
-9999,-9999,-1
-9999,-0.9812101,-1
-9999,-9999,-1
-9999,0.961248,2
-9999,-9999,-1
-9999,0.3075576,2
-9999,-9999,2
8.975135,-0.1339131,1
-9999,-4.488577,-1
-9999,-9999,-1
-9999,-1.221817,-1
-9999,-1.107523,-1
-9999,-9999,-1
-9999,-1.267041,-1
-9999,-1.149871,-1
-9999,-0.9636281,-1
-9999,-2.912621,-1
-9999,-1.684943,-1
8.320573,-1.049395,1
-9999,-9999,-1
-9999,-1.345541,-1
-9999,-9999,-1
9.081526,0.2340529,1
-9999,-9999,-1
9.054654,0.736353,1
-9999,-9999,-1
-9999,-0.6203873,-1
8.902273,0.3488721,1
-9999,-1.875937,-1
-9999,-0.1898586,3
-9999,-0.766728,2
-9999,-9999,-1
9.040843,0.2060367,1
-9999,-4.931786,2
-9999,-0.6520299,-1
-9999,-9999,-1
-9999,-9999,-1
7.977963,-0.4810521,1
-9999,-4.929276,2
-9999,-1.325907,2
9.09383,0.2683674,1
-9999,-9999,-1
8.644075,-0.7819443,1
-9999,-9999,-1
-9999,0.650787,3
8.97001,2.577954,1
-9999,-9999,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.9393243,2
-9999,-1.072096,2
-9999,-4.921682,5
-9999,-4.600966,-1
-9999,-9999,-1
8.580907,-0.002951372,1
-9999,0.4144398,3
-9999,-9999,-1
8.747501,-0.197602,1
-9999,-1.62251,-1
8.86659,0.007319848,1
-9999,-4.812236,-1
-9999,-1.336143,-1
-9999,-9999,-1
-9999,-9999,-1
8.736605,-0.5112836,1
-9999,0.701385,3
-9999,-9999,2
-9999,0.08901205,2
-9999,-9999,-1
8.653484,-0.01455276,1
-9999,-0.4268689,2
8.925603,-1.03727,1
-9999,-0.1746188,2
