#Table1
ra,dec,u,g,r,i,z
132.634679161433,11.8304174357045,25.02496,22.92951,22.83843,22.08181,22.02083
132.719531105731,11.7213857722379,24.14241,23.71135,22.39631,21.6744,21.31005
132.719546196913,11.9913235137406,24.91149,24.98243,23.74788,21.11263,20.16087
132.719546564487,11.9914043403512,25.1396,25.54294,23.02406,21.27229,20.3262
132.719598907486,11.721391995615,23.77923,23.4888,22.04755,21.32566,21.29249
132.719617348502,11.8697644627904,23.86032,24.19151,23.20322,22.17695,23.06911
132.719624823594,11.7707961548535,23.06705,23.27924,22.0168,21.45497,21.30599
132.719634225552,11.7998961482269,26.88204,20.72494,20.06196,19.44892,20.46886
132.719637652745,11.7953023404847,24.08811,22.2525,22.54589,23.01466,20.5777
132.719658068346,11.7952494433023,22.69753,21.34898,20.76153,20.03895,19.9742
132.719695155749,11.7706360709345,22.26546,23.80018,21.60888,20.84242,20.11236
132.719695580536,11.7530619421968,22.09365,20.92909,20.40596,20.1365,19.89321
132.719704314751,11.7917580274986,22.83934,22.25986,21.08977,20.63645,21.21549
132.719705743586,11.6668092907588,24.64229,25.11499,18.92248,24.35727,22.8389
132.719711856858,11.7917432398061,22.40811,21.39416,20.72328,20.09745,21.03389
132.719731741757,11.6668488096831,21.40989,25.36115,16.28444,15.97708,15.90876
132.719742527111,11.6307062654836,24.99092,22.69114,21.26882,19.92677,19.07893
132.719746756639,11.6306902010113,24.95463,22.63654,21.01084,19.62292,18.80565
132.719749606523,11.6306565296252,23.24425,23.36455,21.14507,19.60974,18.87036
132.719756694245,11.6668153227432,19.53726,25.2858,16.7853,23.98152,17.75519
132.719767114577,11.7705347651346,24.44928,23.63362,22.5152,21.63545,20.871
132.71977740185,11.8123781915627,24.4003,23.21587,21.64845,20.75305,20.21404
132.719823780784,11.8123837604016,24.02872,22.58852,21.32219,20.36357,20.08518
132.719828769223,11.6346571448926,24.38462,23.04626,22.74594,22.85031,22.31396
132.71987727424,11.8472941820585,22.50496,23.05264,21.67539,21.08223,20.20874
132.719959312512,11.8472917551833,23.30988,22.55888,21.4279,21.20898,21.37784
132.719987125347,11.6831575967093,25.45618,22.37611,21.03327,20.03464,19.50877
132.719999912891,11.6831987096715,24.56975,22.34772,21.28484,20.48557,19.86741
132.720017801899,11.6769244386961,24.4906,23.02985,20.86443,20.31577,19.86805
132.720027858548,11.6769141759772,23.62684,22.3367,20.65761,20.07354,19.79155
132.720028565844,11.6769305672423,24.63438,22.58372,19.84516,19.40496,19.11053
132.720047291452,11.8053453238203,24.0266,24.62747,23.10043,21.59418,23.04884
132.720088357317,11.6832673949192,23.03437,22.78592,21.51801,20.52185,20.78256
132.720284226384,11.690390158149,23.49487,22.05799,20.73088,19.42872,18.73277
132.720300486462,11.6904121459161,24.43712,22.04861,20.66947,19.3747,18.70703
132.720316541029,11.6904050165307,25.75716,22.17403,20.65836,19.38805,18.70098
132.72034047204,11.7405851874408,23.05438,22.92966,22.35264,21.94294,21.69243
132.720348063007,11.7405706684177,25.24647,23.54929,22.48252,21.78115,21.49411
132.720370796139,11.729666519086,20.34962,18.1258,17.12627,16.72437,16.47724
132.720372906475,11.7296655358791,20.35927,18.11292,17.12318,16.72143,16.49802
132.720374162031,11.7296638280499,21.29515,18.12551,17.11813,16.71993,16.50855
132.720500530517,11.7869707511763,21.91917,19.99927,19.44198,19.17735,19.07591
132.720508811874,11.7869744522975,21.74397,20.02426,19.39998,19.21069,19.0781
132.720538334292,11.8096280159804,23.51627,22.1399,20.94534,20.29976,19.96306
132.720548700316,11.7668071737035,22.0157,21.62336,20.74212,20.05125,19.92771
132.720589745963,11.8540868186455,23.15666,25.18201,22.85808,21.92461,21.46301
132.720589976711,11.8095511532046,24.03562,24.19519,22.5207,22.30207,20.75279
132.720592703487,11.7668320305776,22.24108,21.91015,20.71548,20.20355,19.84009
132.72060598976,11.7205151776448,19.19598,17.32481,16.64526,16.42031,16.31265
132.720608848509,11.7205142513364,19.18467,17.33442,16.64682,16.41954,16.31638
132.720609129163,11.7205095225435,19.14567,17.33131,16.64195,16.41451,16.30222
132.720639534832,11.904429389975,24.26508,21.13197,20.86239,20.79204,21.03016
132.720658675575,11.9044362739724,22.59273,21.15931,20.60849,20.30795,20.23329
132.72067783666,11.766762436349,22.72729,21.78973,20.89373,20.43113,19.91334
132.720722106561,11.9696393388445,19.35214,18.20775,17.39145,17.19653,17.08689
132.720723297466,11.9696336508697,19.32524,17.92216,17.39502,17.18954,17.11749
132.720752646831,11.9029780429006,17.71351,16.28682,15.83776,15.68857,15.5214
132.720758403243,11.9029808538097,17.64066,16.29945,15.74197,15.55917,15.45862
132.720874463768,11.7340136130167,21.57256,18.84394,17.48515,16.89289,16.56015
132.720878818948,11.7340120034524,21.23246,18.8707,17.49241,16.8992,16.56624
132.720878902088,11.7340095017969,21.35303,18.88326,17.48455,16.91057,16.59568
132.720888272704,11.6510859279025,22.74328,22.49107,21.36391,20.80887,20.12726
132.720888863582,11.6510435822542,21.92159,22.78034,21.17413,20.70823,20.06198
132.720921038089,11.651070262469,24.54721,22.57626,20.97092,20.57294,20.52401
132.721103750395,11.9087466454134,23.87211,23.58534,22.63504,21.50104,21.02276
132.72112414783,11.6672837018982,15.67826,14.34146,13.02869,14.78203,13.87841
132.721124626041,11.6672652566884,15.29317,14.33494,14.52427,13.6777,13.51719
132.721127993245,11.6672803572965,15.25511,14.17582,13.73492,13.68111,13.6126
132.721138862234,11.6936971743016,21.35918,19.72571,18.58425,18.16191,17.86956
132.721142741294,11.6936978719898,21.72537,19.70317,18.61623,18.19531,17.89847
